short_name,age,nationality_name,overall,potential,club_name,value_eur,wage_eur,player_positions,player_face_url
L. Messi,34,Argentina,93,93,Paris Saint-Germain,78000000.0,320000.0,RW,https://cdn.sofifa.net/players/158/023/22_120.png
R. Lewandowski,32,Poland,92,92,FC Bayern München,119500000.0,270000.0,ST,https://cdn.sofifa.net/players/188/545/22_120.png
K. Mbappé,22,France,91,95,Paris Saint-Germain,194000000.0,230000.0,ST,https://cdn.sofifa.net/players/231/747/22_120.png
J. Oblak,28,Slovenia,91,93,Atlético de Madrid,112000000.0,130000.0,GK,https://cdn.sofifa.net/players/200/389/22_120.png
Neymar Jr,29,Brazil,91,91,Paris Saint-Germain,129000000.0,270000.0,LW,https://cdn.sofifa.net/players/190/871/22_120.png
K. De Bruyne,30,Belgium,91,91,Manchester City,125500000.0,350000.0,CM,https://cdn.sofifa.net/players/192/985/22_120.png
Cristiano Ronaldo,36,Portugal,91,91,Manchester United,45000000.0,270000.0,ST,https://cdn.sofifa.net/players/020/801/22_120.png
M. ter Stegen,29,Germany,90,92,FC Barcelona,99000000.0,250000.0,GK,https://cdn.sofifa.net/players/192/448/22_120.png
H. Kane,27,England,90,90,Tottenham Hotspur,129500000.0,240000.0,ST,https://cdn.sofifa.net/players/202/126/22_120.png
N. Kanté,30,France,90,90,Chelsea,100000000.0,230000.0,CDM,https://cdn.sofifa.net/players/215/914/22_120.png
M. Neuer,35,Germany,90,90,FC Bayern München,13500000.0,86000.0,GK,https://cdn.sofifa.net/players/167/495/22_120.png
G. Donnarumma,22,Italy,89,93,Paris Saint-Germain,119500000.0,110000.0,GK,https://cdn.sofifa.net/players/230/621/22_120.png
Ederson,27,Brazil,89,91,Manchester City,94000000.0,200000.0,GK,https://cdn.sofifa.net/players/210/257/22_120.png
T. Courtois,29,Belgium,89,91,Real Madrid CF,85500000.0,250000.0,GK,https://cdn.sofifa.net/players/192/119/22_120.png
J. Kimmich,26,Germany,89,90,FC Bayern München,108000000.0,160000.0,CDM,https://cdn.sofifa.net/players/212/622/22_120.png
Alisson,28,Brazil,89,90,Liverpool,82000000.0,190000.0,GK,https://cdn.sofifa.net/players/212/831/22_120.png
H. Son,28,Korea Republic,89,89,Tottenham Hotspur,104000000.0,220000.0,LM,https://cdn.sofifa.net/players/200/104/22_120.png
S. Mané,29,Senegal,89,89,Liverpool,101000000.0,270000.0,LW,https://cdn.sofifa.net/players/208/722/22_120.png
M. Salah,29,Egypt,89,89,Liverpool,101000000.0,270000.0,RW,https://cdn.sofifa.net/players/209/331/22_120.png
Casemiro,29,Brazil,89,89,Real Madrid CF,88000000.0,310000.0,CDM,https://cdn.sofifa.net/players/200/145/22_120.png
V. van Dijk,29,Netherlands,89,89,Liverpool,86000000.0,230000.0,CB,https://cdn.sofifa.net/players/203/376/22_120.png
K. Benzema,33,France,89,89,Real Madrid CF,66000000.0,350000.0,CF,https://cdn.sofifa.net/players/165/153/22_120.png
E. Haaland,20,Norway,88,93,Borussia Dortmund,137500000.0,110000.0,ST,https://cdn.sofifa.net/players/239/085/22_120.png
R. Sterling,26,England,88,89,Manchester City,107500000.0,290000.0,LW,https://cdn.sofifa.net/players/202/652/22_120.png
